,Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval0,PromoInterval1,PromoInterval2,PromoInterval3
170,171,a,a,2640.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
171,172,a,a,110.0,1.0,1990.0,1,40.0,1990.0,1,4,7,10
172,173,a,a,350.0,12.0,2012.0,0,0.0,2012.0,0,0,0,0
173,174,a,a,13090.0,1.0,1990.0,1,22.0,1990.0,1,4,7,10
174,175,c,a,4130.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
175,176,a,a,3770.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
176,177,a,a,1250.0,2.0,2004.0,1,5.0,2004.0,2,5,8,11
177,178,d,a,1710.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
178,179,a,c,480.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
179,180,d,a,5800.0,9.0,2010.0,0,0.0,2010.0,0,0,0,0
180,181,a,a,12610.0,3.0,2013.0,1,14.0,2013.0,1,4,7,10
181,182,d,c,1390.0,1.0,1990.0,1,9.0,1990.0,3,6,9,12
182,183,a,a,9670.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
183,184,d,c,3560.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
184,185,d,c,1860.0,5.0,2015.0,0,0.0,2015.0,0,0,0,0
185,186,a,a,290.0,10.0,2011.0,1,40.0,2011.0,1,4,7,10
186,187,a,c,16107.5,1.0,1990.0,0,0.0,1990.0,0,0,0,0
187,188,d,a,850.0,1.0,1990.0,1,18.0,1990.0,2,5,8,11
188,189,d,a,5760.0,7.0,2014.0,0,0.0,2014.0,0,0,0,0
189,190,a,a,1470.0,12.0,2006.0,1,40.0,2006.0,1,4,7,10
190,191,a,a,1100.0,8.0,2013.0,1,40.0,2013.0,1,4,7,10
191,192,d,c,2770.0,3.0,2008.0,1,40.0,2008.0,1,4,7,10
192,193,a,a,520.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
193,194,d,c,16107.5,1.0,1990.0,1,5.0,1990.0,2,5,8,11
194,195,a,c,220.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
195,196,c,a,3850.0,11.0,2005.0,1,14.0,2005.0,1,4,7,10
196,197,c,a,4210.0,3.0,2015.0,0,0.0,2015.0,0,0,0,0
197,198,a,a,290.0,9.0,2002.0,1,13.0,2002.0,1,4,7,10
198,199,d,c,6360.0,12.0,2010.0,1,14.0,2010.0,3,6,9,12
199,200,a,a,1650.0,10.0,2000.0,0,0.0,2000.0,0,0,0,0
200,201,d,a,16107.5,1.0,1990.0,1,18.0,1990.0,3,6,9,12
201,202,d,c,5140.0,5.0,2010.0,0,0.0,2010.0,0,0,0,0
202,203,c,c,490.0,11.0,2002.0,0,0.0,2002.0,0,0,0,0
203,204,a,a,5630.0,12.0,2002.0,1,40.0,2002.0,1,4,7,10
204,205,a,a,110.0,12.0,2007.0,0,0.0,2007.0,0,0,0,0
205,206,a,c,380.0,1.0,1990.0,1,14.0,1990.0,1,4,7,10
206,207,a,a,6870.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
207,208,c,a,300.0,4.0,2006.0,0,0.0,2006.0,0,0,0,0
208,209,a,c,11680.0,9.0,2011.0,1,31.0,2011.0,1,4,7,10
209,210,d,a,970.0,11.0,1999.0,1,5.0,1999.0,2,5,8,11
210,211,a,c,350.0,11.0,2006.0,0,0.0,2006.0,0,0,0,0
211,212,a,c,15050.0,9.0,2008.0,0,0.0,2008.0,0,0,0,0
212,213,d,c,4030.0,3.0,2014.0,1,1.0,2014.0,1,4,7,10
213,214,d,a,8650.0,7.0,2013.0,1,10.0,2013.0,1,4,7,10
214,215,d,a,150.0,1.0,1990.0,1,45.0,1990.0,2,5,8,11
215,216,c,a,190.0,1.0,1990.0,1,45.0,1990.0,2,5,8,11
216,217,c,a,3150.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
217,218,a,c,640.0,1.0,1990.0,1,9.0,1990.0,3,6,9,12
218,219,a,a,1640.0,2.0,2013.0,0,0.0,2013.0,0,0,0,0
219,220,a,a,1000.0,9.0,2008.0,0,0.0,2008.0,0,0,0,0
220,221,d,c,13530.0,9.0,2013.0,0,0.0,2013.0,0,0,0,0
221,222,a,a,2170.0,11.0,2008.0,0,0.0,2008.0,0,0,0,0
222,223,d,c,2920.0,10.0,1995.0,1,27.0,1995.0,1,4,7,10
223,224,d,c,7930.0,1.0,1990.0,1,1.0,1990.0,1,4,7,10
224,225,d,a,10180.0,5.0,2015.0,0,0.0,2015.0,0,0,0,0
225,226,a,a,450.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
226,227,a,a,2370.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
227,228,d,c,10800.0,1.0,1990.0,1,18.0,1990.0,2,5,8,11
228,229,d,c,16107.5,4.0,2007.0,1,14.0,2007.0,1,4,7,10
229,230,d,c,6680.0,9.0,2013.0,0,0.0,2013.0,0,0,0,0
230,231,d,c,3840.0,10.0,2008.0,1,39.0,2008.0,2,5,8,11
231,232,c,c,13570.0,5.0,2010.0,1,10.0,2010.0,3,6,9,12
232,233,a,a,1890.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
233,234,d,a,4370.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
234,235,a,a,5710.0,3.0,2012.0,1,37.0,2012.0,1,4,7,10
235,236,a,a,1000.0,11.0,2007.0,0,0.0,2007.0,0,0,0,0
236,237,a,a,1420.0,11.0,2007.0,0,0.0,2007.0,0,0,0,0
237,238,a,a,320.0,1.0,1990.0,1,45.0,1990.0,2,5,8,11
238,239,d,c,610.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
239,240,a,a,1110.0,5.0,2009.0,0,0.0,2009.0,0,0,0,0
240,241,d,c,780.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
241,242,d,a,6880.0,9.0,2001.0,1,14.0,2001.0,1,4,7,10
242,243,a,a,310.0,1.0,1990.0,1,5.0,1990.0,2,5,8,11
243,244,d,a,710.0,3.0,2012.0,1,1.0,2012.0,1,4,7,10
244,245,a,c,1310.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
245,246,c,a,4660.0,4.0,2013.0,0,0.0,2013.0,0,0,0,0
246,247,d,c,70.0,11.0,2010.0,1,5.0,2010.0,2,5,8,11
247,248,a,c,340.0,9.0,2012.0,1,40.0,2012.0,1,4,7,10
248,249,d,c,16107.5,9.0,2014.0,0,0.0,2014.0,0,0,0,0
249,250,d,a,3520.0,1.0,1990.0,1,18.0,1990.0,2,5,8,11
250,251,a,c,340.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
251,252,d,c,16107.5,1.0,1990.0,1,5.0,1990.0,2,5,8,11
252,253,a,c,250.0,1.0,1990.0,1,5.0,1990.0,2,5,8,11
253,254,d,a,330.0,3.0,2008.0,1,1.0,2008.0,3,6,9,12
254,255,c,c,4630.0,3.0,2011.0,1,35.0,2011.0,2,5,8,11
255,256,a,c,80.0,9.0,2005.0,1,10.0,2005.0,3,6,9,12
256,257,a,a,420.0,12.0,2012.0,0,0.0,2012.0,0,0,0,0
257,258,a,a,16107.5,7.0,2010.0,1,37.0,2010.0,1,4,7,10
258,259,b,b,210.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
259,260,a,a,540.0,10.0,2011.0,0,0.0,2011.0,0,0,0,0
260,261,d,c,15340.0,4.0,2015.0,1,39.0,2015.0,1,4,7,10
261,262,b,a,1180.0,5.0,2013.0,0,0.0,2013.0,0,0,0,0
262,263,a,c,1140.0,5.0,2013.0,1,40.0,2013.0,1,4,7,10
263,264,a,a,180.0,3.0,2014.0,0,0.0,2014.0,0,0,0,0
264,265,a,a,4580.0,1.0,1990.0,1,14.0,1990.0,1,4,7,10
265,266,a,c,360.0,3.0,2014.0,1,9.0,2014.0,3,6,9,12
266,267,c,a,2460.0,1.0,2012.0,0,0.0,2012.0,0,0,0,0
267,268,a,a,4520.0,2.0,2014.0,0,0.0,2014.0,0,0,0,0
268,269,a,c,60.0,6.0,2015.0,0,0.0,2015.0,0,0,0,0
269,270,a,a,1450.0,7.0,2014.0,0,0.0,2014.0,0,0,0,0
270,271,a,a,420.0,1.0,1990.0,1,14.0,1990.0,1,4,7,10
271,272,a,a,16107.5,7.0,2003.0,1,14.0,2003.0,1,4,7,10
272,273,a,c,8480.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
273,274,b,b,3640.0,1.0,1990.0,1,10.0,1990.0,1,4,7,10
274,275,d,a,300.0,5.0,2014.0,1,40.0,2014.0,1,4,7,10
275,276,a,a,2960.0,10.0,2014.0,1,36.0,2014.0,3,6,9,12
276,277,d,c,7840.0,1.0,1990.0,1,31.0,1990.0,2,5,8,11
277,278,a,c,9260.0,2.0,2010.0,0,0.0,2010.0,0,0,0,0
278,279,d,c,2320.0,1.0,1990.0,1,40.0,1990.0,1,4,7,10
279,280,d,c,16107.5,9.0,2013.0,1,10.0,2013.0,3,6,9,12
280,281,d,c,6970.0,9.0,2011.0,0,0.0,2011.0,0,0,0,0
281,282,a,a,1220.0,12.0,2010.0,0,0.0,2010.0,0,0,0,0
282,283,a,a,2260.0,1.0,1990.0,1,40.0,1990.0,1,4,7,10
283,284,d,a,1290.0,1.0,1990.0,1,40.0,1990.0,1,4,7,10
284,285,a,a,2410.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
285,286,a,a,1460.0,4.0,2015.0,0,0.0,2015.0,0,0,0,0
286,287,c,a,2740.0,5.0,2009.0,1,40.0,2009.0,1,4,7,10
287,288,d,a,800.0,1.0,1990.0,1,14.0,1990.0,3,6,9,12
288,289,d,a,6540.0,12.0,2007.0,0,0.0,2007.0,0,0,0,0
289,290,a,a,4150.0,5.0,2001.0,0,0.0,2001.0,0,0,0,0
290,291,d,a,5404.901079136691,1.0,1990.0,0,0.0,1990.0,0,0,0,0
291,292,a,a,1100.0,6.0,2009.0,0,0.0,2009.0,0,0,0,0
292,293,c,c,140.0,11.0,2007.0,0,0.0,2007.0,0,0,0,0
293,294,a,a,3150.0,5.0,2005.0,0,0.0,2005.0,0,0,0,0
294,295,a,a,210.0,11.0,2000.0,1,36.0,2000.0,3,6,9,12
295,296,a,a,9580.0,5.0,2007.0,1,45.0,2007.0,2,5,8,11
296,297,a,a,2300.0,9.0,2010.0,0,0.0,2010.0,0,0,0,0
297,298,d,a,16107.5,7.0,2009.0,0,0.0,2009.0,0,0,0,0
298,299,d,c,16107.5,9.0,2012.0,0,0.0,2012.0,0,0,0,0
299,300,a,c,120.0,4.0,2009.0,1,1.0,2009.0,1,4,7,10
300,301,a,c,4510.0,3.0,2015.0,0,0.0,2015.0,0,0,0,0
301,302,d,c,2190.0,12.0,2007.0,1,9.0,2007.0,3,6,9,12
302,303,a,a,15430.0,11.0,2012.0,1,18.0,2012.0,2,5,8,11
303,304,a,a,1950.0,7.0,2015.0,0,0.0,2015.0,0,0,0,0
304,305,c,c,2470.0,2.0,2005.0,1,31.0,2005.0,3,6,9,12
305,306,a,a,5100.0,4.0,2007.0,1,40.0,2007.0,1,4,7,10
306,307,a,a,16107.5,9.0,2002.0,0,0.0,2002.0,0,0,0,0
307,308,a,a,1070.0,12.0,2006.0,1,13.0,2006.0,1,4,7,10
308,309,d,a,8740.0,1.0,1990.0,1,37.0,1990.0,2,5,8,11
309,310,a,c,2290.0,1.0,1990.0,1,10.0,1990.0,3,6,9,12
310,311,a,c,680.0,7.0,2005.0,0,0.0,2005.0,0,0,0,0
311,312,d,a,11300.0,3.0,2012.0,0,0.0,2012.0,0,0,0,0
312,313,d,c,14160.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
313,314,a,a,3560.0,10.0,2001.0,1,31.0,2001.0,2,5,8,11
314,315,a,c,16107.5,4.0,2013.0,0,0.0,2013.0,0,0,0,0
315,316,d,a,9000.0,8.0,2001.0,0,0.0,2001.0,0,0,0,0
316,317,d,a,3140.0,7.0,2013.0,1,14.0,2013.0,1,4,7,10
317,318,d,c,16107.5,3.0,2014.0,0,0.0,2014.0,0,0,0,0
318,319,a,c,570.0,9.0,2012.0,1,27.0,2012.0,3,6,9,12
319,320,a,c,210.0,9.0,2012.0,0,0.0,2012.0,0,0,0,0
320,321,c,c,8140.0,11.0,2013.0,1,10.0,2013.0,3,6,9,12
321,322,a,a,16107.5,4.0,2001.0,1,37.0,2001.0,1,4,7,10
322,323,d,c,8400.0,4.0,2012.0,1,5.0,2012.0,2,5,8,11
323,324,a,a,13140.0,1.0,1990.0,1,14.0,1990.0,1,4,7,10
324,325,a,c,350.0,3.0,2011.0,1,22.0,2011.0,2,5,8,11
325,326,d,a,10070.0,5.0,2015.0,1,31.0,2015.0,2,5,8,11
326,327,c,c,1390.0,12.0,2004.0,0,0.0,2004.0,0,0,0,0
327,328,a,a,3130.0,7.0,2002.0,0,0.0,2002.0,0,0,0,0
328,329,a,a,1310.0,6.0,1990.0,1,22.0,1990.0,3,6,9,12
329,330,a,c,370.0,1.0,1990.0,1,22.0,1990.0,3,6,9,12
330,331,a,c,670.0,1.0,1990.0,1,14.0,1990.0,1,4,7,10
331,332,a,a,1840.0,3.0,2006.0,0,0.0,2006.0,0,0,0,0
332,333,a,c,3720.0,2.0,2010.0,0,0.0,2010.0,0,0,0,0
333,334,d,c,4040.0,8.0,2008.0,1,18.0,2008.0,3,6,9,12
334,335,b,a,90.0,1.0,1990.0,1,31.0,1990.0,1,4,7,10
335,336,a,a,190.0,7.0,2014.0,0,0.0,2014.0,0,0,0,0
336,337,d,c,10600.0,7.0,2005.0,1,45.0,2005.0,2,5,8,11
337,338,a,c,1590.0,1.0,1990.0,1,37.0,1990.0,1,4,7,10
